City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mogadishu,2.0371,45.3438,300.89,75,45,8.55,SO,1710699969
83,anavyssos,37.7333,23.95,288.06,70,100,4.93,GR,1710700168
84,astrakhan,46.3497,48.0408,275.08,100,100,4.02,RU,1710699924
85,anadyr,64.75,177.4833,249.43,84,0,2.0,RU,1710700172
86,arkhangel'sk,64.5401,40.5433,267.21,67,40,1.0,RU,1710700122
87,puerto natales,-51.7236,-72.4875,278.4,70,75,15.43,CL,1710700174
88,mana,5.6592,-53.7767,302.44,67,59,5.9,GF,1710700174
89,stanley,54.868,-1.6985,284.92,84,40,4.12,GB,1710700175
90,namibe,-15.1961,12.1522,298.12,74,28,6.56,AO,1710700176
91,yellowknife,62.456,-114.3525,267.27,73,75,6.17,CA,1710700177
92,malango,-2.9627,119.9001,292.56,93,98,1.34,ID,1710700179
93,valparaiso,-33.0393,-71.6273,303.78,52,0,6.17,CL,1710700153
94,tanout,14.9709,8.8879,300.63,10,1,6.35,NE,1710700181
95,florence,43.7667,11.25,288.9,82,0,2.06,IT,1710700182
96,mahdia,35.5047,11.0622,289.12,76,15,3.89,TN,1710700182
97,poronaysk,49.2167,143.1167,262.97,92,100,2.73,RU,1710700183
98,manaure,11.7751,-72.4445,305.78,51,61,8.84,CO,1710700184
99,macas,-2.3167,-78.1167,304.01,48,40,3.6,EC,1710700185
100,mukalla,14.5425,49.1242,298.8,76,1,1.92,YE,1710700186
101,dongcun,36.7767,121.1597,275.16,44,73,0.86,CN,1710700187
102,cooper's town,26.8667,-77.5167,297.57,85,20,6.9,BS,1710700188
103,galeana,24.8333,-100.0667,296.61,31,6,5.12,MX,1710700189
104,bredasdorp,-34.5322,20.0403,291.21,72,100,7.87,ZA,1710700189
105,bethel,41.3712,-73.414,288.65,39,40,6.69,US,1710700164
106,gamba,-2.65,10.0,301.48,84,97,3.49,GA,1710700191
107,bizerte,37.2744,9.8739,287.73,87,30,3.29,TN,1710700192
108,east london,-33.0153,27.9116,290.67,94,100,2.06,ZA,1710700193
109,luderitz,-26.6481,15.1594,290.99,83,2,3.76,NA,1710700194
